id,node_type
52,usingForDeclaration DOWN
94,enumDefinition DOWN
42,constructorDefinition DOWN
3,pragmaDirective UP
54,variableDeclarationList DOWN
69,assemblyCall UP
18,eventParameterList DOWN
40,emitStatement DOWN
72,assemblyAssignment DOWN
56,tupleExpression DOWN
5,parameter UP
106,identifier DOWN
109,assemblyIf UP
35,expressionList UP
68,userDefinedTypeName DOWN
29,expressionStatement UP
14,modifierList DOWN
60,typeName DOWN
19,eventDefinition UP
62,numberLiteral DOWN
28,expression DOWN
16,eventParameter DOWN
25,mapping UP
119,functionTypeName UP
43,sourceUnit UP
101,primaryExpression UP
82,modifierInvocation DOWN
107,assemblyFor UP
90,functionCallArguments DOWN
100,inheritanceSpecifier DOWN
21,contractDefinition UP
93,enumDefinition UP
53,variableDeclarationList UP
48,variableDeclarationStatement DOWN
102,primaryExpression DOWN
38,functionCall DOWN
83,version UP
27,expression UP
121,doWhileStatement UP
65,structDefinition UP
64,forStatement DOWN
114,throwStatement DOWN
34,returnStatement DOWN
44,sourceUnit DOWN
118,functionTypeParameter DOWN
20,eventDefinition DOWN
30,expressionStatement DOWN
9,returnParameters UP
59,typeName UP
123,labelDefinition UP
77,assemblySwitch UP
70,assemblyCall DOWN
97,assemblyLocalDefinition UP
26,mapping DOWN
31,block UP
111,continueStatement UP
23,stateVariableDeclaration UP
47,variableDeclarationStatement UP
50,ifStatement DOWN
10,returnParameters DOWN
96,simpleStatement DOWN
92,breakStatement DOWN
73,assemblyBlock UP
78,assemblySwitch DOWN
85,nameValue UP
11,functionDefinition UP
8,parameterList DOWN
89,functionCallArguments UP
2,versionConstraint DOWN
58,modifierDefinition DOWN
61,numberLiteral UP
80,inlineAssemblyStatement DOWN
117,functionTypeParameter UP
57,modifierDefinition UP
67,userDefinedTypeName UP
22,contractDefinition DOWN
33,returnStatement UP
17,eventParameterList UP
7,parameterList UP
41,constructorDefinition UP
84,version DOWN
87,nameValueList UP
103,whileStatement UP
75,assemblyCase UP
112,continueStatement DOWN
46,variableDeclaration DOWN
116,functionTypeParameterList DOWN
6,parameter DOWN
105,identifier UP
45,variableDeclaration UP
51,usingForDeclaration UP
49,ifStatement UP
39,emitStatement UP
13,modifierList UP
110,assemblyIf DOWN
76,assemblyCase DOWN
98,assemblyLocalDefinition DOWN
81,modifierInvocation UP
91,breakStatement UP
55,tupleExpression UP
79,inlineAssemblyStatement UP
24,stateVariableDeclaration DOWN
124,labelDefinition DOWN
4,pragmaDirective DOWN
32,block DOWN
63,forStatement UP
88,nameValueList DOWN
95,simpleStatement UP
120,functionTypeName DOWN
1,versionConstraint UP
122,doWhileStatement DOWN
113,throwStatement UP
115,functionTypeParameterList UP
108,assemblyFor DOWN
104,whileStatement DOWN
15,eventParameter UP
66,structDefinition DOWN
71,assemblyAssignment UP
12,functionDefinition DOWN
36,expressionList DOWN
37,functionCall UP
74,assemblyBlock DOWN
86,nameValue DOWN
99,inheritanceSpecifier UP
