_id,LOC,Contract_definitions,FunctionDefinitions,Function calls,ExpressionStatements,EventDefinitions,ElementaryType_addresses,Modifier_Definitions,Modifier_Invocations,Approvefunction_Definitions,Binary_Operations,Blocks,Bytes,Placeholder_statements,Constant_values,Hexadecimal_addresses
10001,19,1,4,0,5,0,1,1,1,0,4,7,0,0,0,0
10005,68,1,5,3,20,3,5,0,0,0,37,21,0,0,0,0
10007,41,1,6,0,17,0,4,1,1,0,24,10,0,0,0,0
10010,34,1,6,1,11,2,14,0,0,1,11,6,0,0,0,0
10011,48,2,7,0,15,0,4,0,0,0,12,9,0,0,0,1
10012,133,2,18,6,31,6,15,4,11,0,34,27,2,0,0,0
10013,4,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
10014,262,6,49,0,79,10,60,0,0,3,139,61,2,0,11,5
10015,34,2,5,0,10,0,4,0,0,0,9,8,0,0,0,0
10016,8,1,1,0,3,0,3,0,0,0,3,2,2,0,0,0
10017,48,3,8,0,12,0,10,1,4,0,13,14,1,0,0,0
10018,49,3,9,0,12,0,10,1,4,0,13,15,1,0,1,0
10020,24,1,4,0,7,0,2,0,0,0,7,6,1,0,0,2
10021,8,1,1,0,3,0,3,0,0,0,3,2,2,0,0,0
10022,48,2,7,0,15,0,4,0,0,0,12,9,0,0,0,1
10023,11,1,1,0,4,0,3,0,0,0,7,2,2,0,0,3
10024,8,1,1,0,3,0,3,0,0,0,3,2,2,0,0,0
10025,48,2,7,0,15,0,4,0,0,0,12,9,0,0,0,0
10026,13,1,1,0,4,0,3,0,0,0,3,1,1,0,0,2
10027,16,2,6,0,5,0,5,0,0,0,2,5,0,0,1,0
10028,48,2,7,0,13,0,4,0,0,0,12,9,0,0,0,0
10031,47,3,8,0,11,0,10,1,4,0,12,14,1,0,0,0
10032,1010,18,125,0,306,15,105,9,51,3,426,165,20,0,3,2
10033,14,1,4,0,7,0,2,0,0,0,7,6,1,0,0,2
10034,44,2,5,0,12,0,4,0,0,0,15,7,0,0,0,0
10035,24,1,4,0,7,0,2,0,0,0,7,6,1,0,0,2
10036,23,1,4,0,7,0,2,0,0,0,7,6,1,0,0,2
10037,41,2,6,0,14,0,5,1,1,0,13,10,0,0,0,0
10038,44,2,5,0,12,0,4,0,0,0,15,7,0,0,0,0
10039,132,2,18,6,30,6,15,4,11,0,32,27,2,0,0,0
10040,23,1,4,0,7,0,2,0,0,0,7,6,1,0,0,2
10041,35,2,6,0,8,1,4,1,2,0,6,8,1,0,1,0
10042,128,1,10,0,45,5,10,0,0,0,80,33,11,0,0,1
10043,37,2,5,0,10,0,4,0,0,0,9,8,0,0,0,0
10044,49,3,9,0,12,0,10,1,4,0,13,15,1,0,1,0
10045,44,2,5,0,12,0,4,0,0,0,15,7,0,0,0,0
10046,39,2,5,0,11,0,4,0,0,0,12,8,0,0,0,0
10047,70,2,11,0,24,2,5,2,7,0,18,15,1,0,2,0
10048,54,2,7,0,14,0,4,0,0,0,18,9,0,0,0,0
10050,35,1,5,0,11,0,3,1,3,0,20,8,1,0,0,3
10051,18,1,2,0,8,0,3,1,1,0,11,4,2,0,0,1
10052,8,1,1,0,3,0,3,0,0,0,3,2,2,0,0,0
10053,48,2,7,0,13,0,4,0,0,0,12,9,0,0,0,0
10054,67,3,14,0,31,0,8,0,0,0,34,16,0,0,1,2
10056,15,1,4,0,6,0,2,1,3,0,2,5,0,0,0,0
10057,36,2,5,0,10,0,4,0,0,0,9,8,0,0,0,0
10058,70,1,17,0,24,0,6,3,10,0,38,25,1,0,3,3
10059,8,1,2,0,3,0,1,0,0,0,2,2,0,0,0,0
10060,34,2,5,0,10,0,4,0,0,0,9,8,0,0,0,0
10062,37,2,5,0,10,0,4,0,0,0,9,8,0,0,0,0
10063,54,2,7,0,14,0,4,0,0,0,18,9,0,0,0,0
10065,44,2,5,0,12,0,4,0,0,0,15,7,0,0,0,0
10066,23,1,4,0,7,0,2,0,0,0,7,6,1,0,0,2
10067,8,1,1,0,3,0,3,0,0,0,3,2,2,0,0,0
10068,21,1,4,0,7,0,2,0,0,0,7,6,1,0,0,2
10069,213,2,23,8,66,8,29,3,11,0,117,39,4,0,3,0
10070,23,1,4,0,7,0,2,0,0,0,7,6,1,0,0,2
10071,21,1,4,0,7,0,2,0,0,0,7,6,1,0,0,2
10072,9,1,1,0,3,0,3,0,0,0,5,2,2,0,0,0
10073,57,3,11,0,14,0,9,1,4,0,39,13,1,0,4,1
10074,44,2,5,0,12,0,4,0,0,0,15,7,0,0,0,0
10075,7,1,1,0,3,0,1,0,0,0,2,2,1,0,0,1
10076,8,1,2,0,2,0,2,0,0,0,0,2,0,0,0,1
10077,23,1,4,0,7,0,2,0,0,0,7,6,1,0,0,2
10081,25,1,9,0,7,0,0,0,0,0,7,9,0,0,0,0
10082,144,1,30,2,9,2,5,0,0,0,13,30,18,0,0,0
10099,20,1,2,0,10,0,3,3,3,0,13,6,0,0,0,0
10106,103,1,10,0,32,0,5,1,4,0,52,14,4,0,0,0
10113,37,1,5,1,7,2,9,0,0,0,18,9,0,0,0,0
10126,42,1,7,0,14,0,12,0,0,0,21,19,0,0,0,0
10146,46,1,5,3,9,2,9,0,0,0,23,12,0,0,0,0
10155,399,5,42,0,121,8,55,11,38,2,159,56,0,0,7,4
10185,25,1,3,1,9,1,6,0,0,0,9,4,11,0,0,1
10198,60,1,13,3,19,3,24,0,0,1,21,16,0,0,0,0
10212,19,1,6,0,9,0,1,0,0,0,9,6,0,0,0,0
10220,13,1,5,0,4,0,0,0,0,0,6,5,0,0,1,0
10222,47,2,10,0,18,0,4,1,1,0,17,12,5,0,0,0
10225,104,1,6,0,33,0,0,0,0,0,63,14,0,0,5,0
10236,132,7,42,0,14,2,68,4,12,1,37,40,18,0,0,2
10242,104,6,27,6,35,3,34,1,2,2,49,23,2,0,0,0
10245,10,1,2,0,1,0,0,0,0,0,1,2,5,0,0,0
10246,47,1,5,0,17,0,5,1,1,0,23,10,0,0,1,0
10247,48,1,5,0,18,0,5,1,1,0,25,10,0,0,1,0
10255,32,3,5,0,9,3,8,1,2,0,8,9,3,0,1,0
10256,49,1,4,3,9,3,5,2,5,0,13,8,9,0,0,4
10263,23,1,3,0,0,0,3,0,0,0,1,3,3,0,0,1
10269,15,1,4,0,5,0,0,2,2,0,4,6,0,0,0,0
10298,31,2,7,0,14,0,2,1,5,0,16,8,4,0,0,0
10305,4,1,1,0,1,0,0,0,0,0,2,1,0,0,0,0
10314,63,1,5,0,23,0,6,0,0,0,26,8,0,0,0,0
10315,73,1,7,0,29,0,6,0,0,0,41,15,2,0,0,0
10316,53,1,6,0,22,0,5,0,0,0,29,12,3,0,2,0
10332,185,5,35,4,80,1,25,6,24,0,102,49,6,0,0,0
10333,125,7,27,3,47,4,26,6,18,2,57,38,0,0,0,0
10381,39,1,4,0,4,1,0,0,0,0,0,4,0,0,4,0
10412,110,9,24,0,40,5,30,3,9,3,58,23,0,0,8,0
10413,37,1,7,0,8,0,8,0,0,0,11,13,19,0,0,0
10432,76,1,6,0,26,1,7,2,4,0,31,13,4,0,0,0
10456,216,1,39,0,92,0,0,0,0,0,331,50,0,0,0,0
10458,71,1,6,0,27,0,0,0,0,0,52,16,0,0,0,0
10490,17,1,3,0,7,0,1,0,0,0,9,3,0,0,0,0
10505,21,1,2,0,4,0,0,0,0,0,8,4,7,0,0,0
10508,77,1,7,0,7,0,3,0,0,0,32,9,21,0,1,1
10509,92,1,10,0,17,0,0,0,0,0,36,14,4,0,1,0
10516,19,1,6,0,8,0,5,0,0,0,4,6,0,0,0,1
10523,183,11,53,7,42,4,77,2,13,3,49,60,0,0,0,0
10541,35,1,5,0,0,0,0,0,0,0,13,14,0,0,0,0
10553,31,1,7,1,8,1,7,1,0,0,18,11,3,0,0,1
10558,119,5,26,5,38,2,30,0,0,2,95,18,5,0,0,6
10564,28,4,4,0,9,0,12,0,0,0,8,5,0,0,0,2
