_id,Contract_definitions
100000,18
100001,11
100003,5
100004,12
100005,5
100006,47
100007,9
10001,1
100010,3
100011,9
100012,8
100013,4
100014,20
100017,5
100018,6
100019,10
100021,10
100022,10
100024,6
100026,16
100027,2
100028,4
100030,8
100031,10
100032,17
100033,9
100034,21
100035,5
100036,6
100040,24
100041,8
100042,8
100043,11
100044,14
100045,5
100047,3
100049,5
10005,1
100050,3
100051,11
100052,10
100053,4
100054,9
100055,7
100057,11
100058,10
100060,14
100061,10
100062,4
100066,10
100067,6
100068,10
100069,13
10007,1
100071,5
100072,13
100073,8
100074,6
100075,5
100076,5
100077,3
100078,8
100079,10
100081,7
100082,13
100089,5
100090,8
100091,9
100092,11
100094,9
100095,7
100096,18
100097,4
100098,13
100099,9
10010,1
100100,5
100101,9
100102,11
100103,10
100104,4
100105,8
100106,10
100108,19
100109,21
10011,2
100110,3
100111,10
100112,7
100115,6
100117,12
100118,6
100119,4
10012,2
100120,2
100121,8
100122,6
100123,10
100124,3
100125,1
100126,12
100127,28
100128,4
100129,2
10013,1
100132,10
100133,10
100135,7
100136,10
100137,11
100138,16
100139,11
10014,6
100141,3
100142,6
100143,2
100144,14
100145,6
100146,14
100148,16
100149,6
10015,2
100150,34
100152,4
100153,3
100154,3
100157,11
100158,5
10016,1
100163,21
100164,13
100165,5
100166,10
100169,14
10017,3
100170,2
100171,18
100173,2
100175,5
100176,28
100177,7
100179,12
10018,3
100180,4
100184,23
100186,6
100187,8
100188,13
100192,16
100193,4
100194,3
100196,3
100197,10
100198,5
100199,15
10020,1
100200,8
100201,4
100202,6
100203,2
100204,5
100206,22
100207,11
100209,10
10021,1
100210,7
100211,4
100212,3
100213,3
100214,92
100215,85
100216,2
100218,6
100219,3
10022,2
100220,8
100222,28
100226,21
100227,19
100228,20
100229,4
10023,1
100230,7
100232,11
100233,2
100234,36
100235,4
100238,11
100239,10
10024,1
100240,8
100241,75
100242,6
100245,2
100246,8
100248,22
100249,4
10025,2
100250,12
100251,11
100252,10
100254,6
100256,9
100257,7
100258,9
10026,1
100261,6
100262,3
100263,11
100264,28
100265,5
100266,8
100268,13
100269,8
10027,2
100270,1
100271,11
100272,10
100273,17
100274,6
100275,17
100276,7
100277,3
100278,2
100279,8
10028,2
100280,5
100283,4
100284,3
100285,3
100286,12
100287,8
100288,9
100289,6
100290,92
100291,5
100292,2
100293,4
100295,2
100296,19
100297,8
100298,8
100299,4
100301,16
100303,12
100305,5
100307,5
100308,23
10031,3
100310,3
100311,1
100312,10
100314,11
100315,10
100316,3
100317,4
100319,7
10032,18
100320,10
100321,7
100322,14
100323,1
100325,28
100326,10
100328,8
10033,1
100330,9
100331,12
100332,15
100333,10
100335,5
100336,8
100337,4
100339,7
10034,2
100340,5
100341,5
100342,4
100343,18
100345,8
100348,12
100349,3
10035,1
100351,6
100352,13
100353,4
100355,6
100357,7
100359,9
10036,1
100360,6
100361,20
100362,5
100363,9
100365,12
100366,4
100367,10
100368,6
100369,3
10037,2
100370,4
100371,13
100372,3
100373,8
100375,9
100376,9
100377,7
100378,9
10038,2
100381,6
100382,8
100383,5
100384,21
100385,84
100387,6
100389,2
10039,2
100390,5
100391,12
100392,12
100393,12
100394,10
100395,10
100396,11
100397,6
100398,14
100399,12
10040,1
100400,6
100401,9
100403,18
100404,5
100405,3
100406,10
100407,1
100409,9
10041,2
100410,12
100414,17
100415,8
100418,12
100419,26
10042,1
100420,4
100421,6
100422,4
100423,27
100425,4
100426,6
100427,6
100429,4
10043,2
100430,13
100432,8
100433,9
100434,11
100435,6
100437,1
100438,10
100439,8
10044,3
100440,19
100441,13
100442,2
100443,8
100444,5
100446,12
100447,7
100448,13
100449,6
10045,2
100451,9
100452,11
100454,14
100455,6
100457,5
100459,19
10046,2
100460,6
100461,8
100462,9
100463,9
100465,4
100466,6
100467,3
100468,10
100469,17
10047,2
100470,2
100472,11
100473,3
100475,8
100476,10
100477,12
100479,8
10048,2
100480,7
100481,8
100482,5
100483,10
100484,9
100485,3
100486,6
100487,12
100488,8
100490,11
100491,1
100492,10
100496,2
100497,10
100498,6
100499,12
10050,1
100500,4
100502,4
100503,11
100505,2
100509,8
10051,1
100510,4
100511,3
100513,39
100514,3
100515,4
100517,86
100518,4
10052,1
100520,15
100523,8
100524,4
100525,3
100527,17
100528,11
100529,8
10053,2
100531,2
100534,9
100535,3
100536,10
100537,4
100539,6
10054,3
100540,10
100543,15
100544,12
100545,4
100546,6
100547,4
100548,7
100551,9
100552,12
100553,2
100554,2
100555,10
100556,12
100557,7
100558,1
100559,11
10056,1
100560,4
100561,15
100562,6
100563,5
100564,16
100565,8
100566,10
100567,13
100568,20
10057,2
100570,8
100571,8
100573,5
100574,2
100575,6
100576,11
100577,7
100578,31
10058,1
100580,13
100581,9
100582,6
100583,10
100584,5
100585,13
100586,4
100588,3
10059,1
100592,5
100593,9
100594,12
100595,5
100596,36
100597,7
100598,3
10060,2
100600,5
100601,10
100602,6
100603,11
100604,9
100605,9
100606,19
100607,7
100608,15
100609,4
100610,5
100611,3
100613,1
100614,11
100616,9
100618,13
100619,6
10062,2
100620,9
100621,5
100623,11
100625,5
100626,8
100627,9
100628,31
10063,2
100630,15
100631,5
100632,2
100633,3
100634,16
100637,5
100640,10
100641,7
100642,4
100643,24
100645,21
