_id,label
10001,000000000000000100
10005,000000000001000000
10007,010000000000001000
10010,000000010000000000
10011,001001000001000000
10012,000000000001000000
10013,001000000000000000
10014,000001000001010100
10015,001000000000000000
10016,010000000000001000
10017,000000001000010000
10018,000000001000010000
10020,000001000000000000
10021,010000000000001000
10022,001001000001000000
10023,010001000000001000
10024,010000000000001000
10025,001000000000000000
10026,000001000000000000
10027,001000000000010000
10028,001000000001010000
10031,001000000000010000
10032,000101001000110000
10033,000001000000000000
10034,001000000000000000
10035,000001000000000000
10036,000001000000000000
10037,001010000000000100
10038,001000000000000000
10039,000000000001000000
10040,000001000000000000
10041,000000000000010000
10042,001001000001010000
10043,001000000000000000
10044,000000001000010000
10045,001000000000000000
10046,001000000000000000
10047,000000000000010100
10048,001000000001010000
10050,000001000001010000
10051,010001000000001000
10052,010000000000001000
10053,001000000001010000
10054,001001000000010000
10056,001000000000000000
10057,001000000000000000
10058,101001000000010100
10059,001000000000000000
10060,001000000000000000
10062,001000000000000000
10063,001000000001010000
10065,001000000000000000
10066,000001000000000000
10067,010000000000001000
10068,000001000000000000
10069,010001000001010000
10070,000001000000000000
10071,000001000000000000
10072,010000000000001000
10073,110000000001011000
10074,001000000000000000
10075,000001000000010000
10076,001001000000000000
10077,000001000000000000
10081,000000001000100000
10082,000000000000100000
10099,000000001000000000
10106,010000000000001000
10113,110000000000001000
10126,110000000000001000
10146,110000000000001000
10155,000000000001010000
10185,000001000000000000
10198,010000000000001000
10212,100000000000000000
10220,000000000000010000
10222,110000000000001000
10225,010000000000011000
10236,000000001000000000
10242,000001000010000000
10245,000000000000010000
10246,000000001001010000
10247,000000001001010000
10255,000000000000010000
10256,000000001000000000
10263,000000001000000000
10269,000000001000000000
10298,000000001000000000
10305,000000001000000000
10314,010000000000001000
10315,110000000000001000
10316,010000000000011000
10332,010000000000001100
10333,000000000000000100
10381,000000000000010000
10412,010000000010010000
10413,010000000000001000
10432,010000000000000000
10456,000000000000100000
10458,010000000000010000
10490,000000000001000000
