_id,Binary_Operations,Blocks,Bytes,Placeholder_statements,Constant_values,Hexadecimal_addresses
100000,214,79,5,0,0,31
100001,117,399,533,0,0,14
100003,41,18,2,0,6,2
100004,134,70,5,0,0,3
100005,40,18,2,0,6,2
100006,582,273,178,0,0,28
100007,213,78,3,0,0,6
10001,4,7,0,0,0,0
100010,68,19,0,0,0,1
100011,133,59,26,0,0,5
100012,57,38,5,0,0,20
100013,37,11,0,0,0,0
100014,216,133,7,0,0,14
100017,42,8,13,0,0,2
100018,49,34,0,0,0,1
100019,93,60,5,0,0,4
100021,88,55,5,0,0,4
100022,143,86,14,0,0,2
100024,117,39,0,0,0,0
100026,223,90,7,0,0,2
100027,1,1,0,0,0,1
100028,14,7,0,0,0,5
100030,53,32,2,0,0,0
100031,102,29,11,0,0,5
100032,167,105,77,0,0,5
100033,59,26,2,0,0,0
100034,156,66,16,0,0,16
100035,97,40,0,0,0,0
100036,127,51,2,0,7,1
100040,94,30,10,0,0,11
100041,62,36,4,0,0,2
100042,75,44,4,0,0,2
100043,115,70,5,0,0,2
100044,43,52,2,0,0,1
100045,44,28,15,0,0,4
100047,31,11,0,0,0,0
100049,40,18,2,0,6,2
10005,37,21,0,0,0,0
100050,7,10,0,0,0,0
100051,117,61,5,0,0,4
100052,73,21,0,0,0,4
100053,187,48,1,0,0,4
100054,89,72,14,0,0,0
100055,62,46,14,0,0,2
100057,72,42,36,0,0,11
100058,86,58,5,0,0,3
100060,103,97,5,0,0,3
100061,159,100,18,0,0,3
100062,154,30,0,0,0,5
100066,83,54,5,0,0,2
100067,50,33,3,0,0,2
100068,65,55,14,0,0,2
100069,104,63,10,0,0,7
10007,24,10,0,0,0,0
100071,50,33,1,0,0,0
100072,137,73,14,0,0,2
100073,228,48,5,0,0,0
100074,103,29,2,0,0,2
100075,40,18,2,0,6,2
100076,40,18,2,0,6,2
100077,6,4,0,0,0,2
100078,72,53,16,0,0,2
100079,89,55,5,0,0,4
100081,53,21,4,0,0,8
100082,92,43,4,0,0,12
100089,44,19,2,0,6,2
100090,69,43,4,0,0,15
100091,54,34,3,0,0,11
100092,84,38,4,0,0,10
100094,33,7,20,0,0,6
100095,122,68,20,0,0,0
100096,114,101,2,0,0,0
100097,95,54,0,0,0,0
100098,27,11,18,0,0,0
100099,67,35,0,0,0,0
10010,11,6,0,0,0,0
100100,40,17,2,0,0,2
100101,41,14,0,0,0,5
100102,194,124,37,0,0,2
100103,66,43,6,0,8,2
100104,40,12,0,0,0,0
100105,68,41,4,0,0,2
100106,71,27,8,0,0,5
100108,122,83,6,0,0,2
