id,node_type
20,classDeclaration DOWN
26,classBodyDeclaration DOWN
13,block UP
10,methodCall DOWN
24,compilationUnit DOWN
25,classBodyDeclaration UP
19,classDeclaration UP
5,formalParameters UP
15,methodDeclaration UP
11,statement UP
17,classBody UP
7,expression UP
14,block DOWN
21,formalParameterList UP
4,formalParameter DOWN
12,statement DOWN
1,typeType UP
3,formalParameter UP
22,formalParameterList DOWN
9,methodCall UP
8,expression DOWN
2,typeType DOWN
16,methodDeclaration DOWN
23,compilationUnit UP
27,typeDeclaration UP
18,classBody DOWN
28,typeDeclaration DOWN
6,formalParameters DOWN
