id,node_type
34,usingForDeclaration DOWN
90,enumDefinition DOWN
40,constructorDefinition DOWN
1,pragmaDirective UP
50,variableDeclarationList DOWN
55,assemblyCall UP
24,eventParameterList DOWN
86,emitStatement DOWN
88,assemblyAssignment DOWN
96,tupleExpression DOWN
3,parameter UP
117,assemblyIf UP
31,expressionList UP
98,userDefinedTypeName DOWN
13,expressionStatement UP
8,modifierList DOWN
44,typeName DOWN
25,eventDefinition UP
68,numberLiteral DOWN
12,expression DOWN
22,eventParameter DOWN
35,mapping UP
113,functionTypeName UP
51,sourceUnit UP
82,modifierInvocation DOWN
115,assemblyFor UP
76,functionCallArguments DOWN
108,inheritanceSpecifier DOWN
19,contractDefinition UP
89,enumDefinition UP
49,variableDeclarationList UP
48,variableDeclarationStatement DOWN
84,functionCall DOWN
103,version UP
11,expression UP
99,doWhileStatement UP
69,structDefinition UP
78,forStatement DOWN
92,throwStatement DOWN
38,returnStatement DOWN
52,sourceUnit DOWN
26,eventDefinition DOWN
14,expressionStatement DOWN
9,returnParameters UP
43,typeName UP
101,labelDefinition UP
63,assemblySwitch UP
56,assemblyCall DOWN
57,assemblyLocalDefinition UP
109,identifierList UP
15,block UP
36,mapping DOWN
105,continueStatement UP
27,stateVariableDeclaration UP
47,variableDeclarationStatement UP
42,ifStatement DOWN
10,returnParameters DOWN
94,breakStatement DOWN
59,assemblyBlock UP
64,assemblySwitch DOWN
71,nameValue UP
17,functionDefinition UP
6,parameterList DOWN
75,functionCallArguments UP
30,modifierDefinition DOWN
54,versionConstraint DOWN
67,numberLiteral UP
66,inlineAssemblyStatement DOWN
29,modifierDefinition UP
97,userDefinedTypeName UP
20,contractDefinition DOWN
37,returnStatement UP
23,eventParameterList UP
5,parameterList UP
39,constructorDefinition UP
104,version DOWN
73,nameValueList UP
79,whileStatement UP
61,assemblyCase UP
106,continueStatement DOWN
46,variableDeclaration DOWN
112,functionTypeParameterList DOWN
4,parameter DOWN
45,variableDeclaration UP
33,usingForDeclaration UP
41,ifStatement UP
85,emitStatement UP
7,modifierList UP
118,assemblyIf DOWN
62,assemblyCase DOWN
58,assemblyLocalDefinition DOWN
81,modifierInvocation UP
93,breakStatement UP
110,identifierList DOWN
95,tupleExpression UP
65,inlineAssemblyStatement UP
28,stateVariableDeclaration DOWN
102,labelDefinition DOWN
2,pragmaDirective DOWN
16,block DOWN
77,forStatement UP
74,nameValueList DOWN
114,functionTypeName DOWN
53,versionConstraint UP
100,doWhileStatement DOWN
91,throwStatement UP
111,functionTypeParameterList UP
116,assemblyFor DOWN
80,whileStatement DOWN
21,eventParameter UP
70,structDefinition DOWN
87,assemblyAssignment UP
18,functionDefinition DOWN
32,expressionList DOWN
60,assemblyBlock DOWN
72,nameValue DOWN
83,functionCall UP
107,inheritanceSpecifier UP
