id,path
47,5 6 22 4
2,1 3 4
55,21 5 15 16 14
42,1 3 21 22 4
10,7 7 8
13,7 11 12
61,13 15 17 19 17 18 16
46,5 6 22 4 2
56,21 5 15 16 14 12 8 8
80,17 18 26 16
25,1 3 5 15 16 14 12 8 8
14,9 7 11 12
69,17 19 23 24
52,15 16 6 22 4 2
68,13 15 17 19 23 24
15,13 14 12 8 8
18,9 7 11 13 14
74,17 19 17 19 23 24
50,3 21 5 6
60,17 18 20 18 16
17,13 14 12 8 10
8,7 8
20,15 16
29,5 15 16 14 12 8 8
36,19 20
40,3 4
21,15 16 6
12,7 8 10
26,3 5 15 16 14
30,5 15 16 14 12 8
22,15 16 6 4 2
44,3 21 22 4
85,19 20 18 26 16
37,19 20 18
86,27 28 20
34,11 13 15 17 18
28,5 15 16 14
87,27 28 20 18
33,17 18 16 6 4 2
77,25 26 16 6
81,17 18 26 16 6
7,3 5 6
43,3 21 22
83,13 15 25 17 18
88,27 28 20 18 26
64,17 19 17 18 16 6
82,11 13 15 25 17 18
6,1 3 5 6
16,13 14 12 8
41,1 3 21 22
19,11 13 14
24,1 3 5 15 16 14
32,17 18 16 6
35,13 15 17 18
73,17 19 17 18
78,25 26 16 6 4 2
89,17 19 27 23 24
51,21 5 6
67,19 20 18 20 18 16
72,13 15 17 19 17 18
62,13 15 17 19 17 18 16 6
53,15 16 6 22 4
57,3 21 5 15 16 14 12 8 8
63,17 19 17 18 16
9,9 10
5,5 6
1,1 2
4,5 6 4
45,21 22 4
75,25 26
27,3 5 15 16 14 12 8 8
66,19 20 18 20 18
70,15 16 6 22
71,17 18 16 6 22 4
31,17 18 16
76,25 26 16
39,19 20 18 16 6
3,5 6 4 2
11,7 7 8 10
58,17 18 20
65,19 20 18 20
48,5 6 22
54,3 21 5 15 16 14
23,15 16 6 4
59,17 18 20 18
38,19 20 18 16
49,1 3 21 5 6
79,17 18 26
84,19 20 18 26
