ID,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,Error_Label
111554,1.7125,-0.1442,0.0896,-0.4709,-0.5669,-1.1847,0.5553,0.6116,1.6306,-0.3363,-1.3106,-0.0812,-0.8671,-0.4345,-0.3815,1.2629,-1.5252,1.0383,-0.7151,-0.4547,-1.2916,-0.1731,0.0659,1.0048,-0.1719,0.4359,1.1638,-0.5097,-0.5769,0.4899,0.1211,-1.6239,0.5013,-0.5968,-2.1505,2.1411,0.1776,0.0712,0.8652,0.5346,0.7488,-1.5162,-0.2446,-1.4488,-0.4675,2.9792,-0.9758,-0.36,1.0827,-0.4378,-0.3739,0.7239,2.017,0.5794,-1.0857,0.4017,-0.2662,-1.1586,-2.9498,-0.4292,1.2963,1.5966,-0.7387,-1.3216,-0.3821,-0.6151,0.9126,-0.1542,-0.0402,0.8738,0.7726,0.528,-0.4793,-0.6676,0.4879,-2.2985,1.2163,1.7565,-0.4958,1.6855,0.0859,0.1622,1.7206,0.6061,1.1657,-0.5618,0.589,-0.3336,0.8946,-1.0827,0.685,0.4976,-0.8303,0.272,1.821,-1.3636,-0.4915,-1.4301,0.113,1.4654,000001000010010000
111555,0.5257,0.6814,0.2162,-0.0991,-0.514,0.7248,0.3328,0.7372,2.0231,-0.9096,0.1495,-0.2336,-0.9231,0.2581,0.2462,-0.5559,-0.7367,-0.0128,1.415,0.0868,1.3159,0.6537,-1.4243,1.4445,-2.1963,0.1966,-1.8902,0.4815,0.2597,-0.6115,-0.6407,-1.5529,1.3987,-1.4982,0.7389,-1.1293,-0.8516,-0.3312,-0.5352,-1.6156,-0.7046,-1.5956,0.0494,1.3061,-2.3172,1.5707,2.0047,-0.5118,1.2733,-2.2493,-0.3835,-0.4154,-1.6973,0.5396,-1.9092,-1.3584,-1.3259,0.2198,0.3944,1.6266,1.361,-2.1295,-1.5067,0.2504,-1.288,-1.2538,1.4158,0.1863,0.7655,1.6809,-2.0051,-0.5038,-0.9642,-2.3163,-0.1286,-0.2964,1.1267,-0.4089,-0.7933,-1.7159,1.2546,-1.5598,0.6671,1.8381,0.6671,-0.2291,-0.2065,0.9408,-0.2291,-0.9265,0.2109,-1.1849,-0.677,0.7639,0.0172,0.6042,2.6903,0.0824,0.8669,0.9162,000000001001010000
111556,0.1098,0.1218,-0.9926,-0.7006,-0.3694,0.271,0.7274,0.4221,-0.8657,-0.6848,-0.9153,-1.1633,1.9994,-0.972,-2.0019,1.3355,0.7721,-0.9905,1.5536,-0.9404,-0.4687,0.4159,0.6671,-1.2466,0.4274,-0.5045,0.2851,-1.0418,0.4187,0.4165,-2.1927,1.302,1.8002,-1.3233,0.8231,-1.4619,0.0946,-0.4747,-0.1661,-0.1169,0.0943,-2.9604,0.0416,0.0115,-0.0256,-0.6523,0.7161,-2.0827,1.5658,-0.6094,-0.6401,1.6751,-0.2631,-1.5783,0.1911,0.0577,0.8342,-0.291,-0.3773,0.0047,-0.1672,0.7402,-0.2134,-0.6041,-1.4641,0.2792,-1.438,-0.696,-1.492,-1.0862,1.0325,-0.8669,-0.4762,-2.4457,-1.3983,0.3668,-0.4687,0.9699,2.1928,-1.9932,0.1028,-0.6411,2.585,-0.9037,0.8852,-1.0751,0.1519,0.2623,-2.384,-1.4226,-1.1017,0.0682,-0.4223,1.6509,-2.4457,0.7726,0.0938,0.2982,-1.1834,-1.3311,000001000000000000
111557,1.3832,-0.1461,-0.6557,0.2572,-2.1259,-0.5817,-2.5407,-0.7252,1.0542,-0.8688,0.483,0.046,-1.0494,0.8783,0.189,-0.3718,-0.8176,0.2233,0.2472,-1.4033,0.5616,0.6216,-1.1631,-1.3623,-0.4782,2.8506,-1.8881,0.0186,-1.2181,0.4901,0.1835,-1.65,-0.6984,0.0465,0.9776,0.2284,-1.8553,2.0736,0.3632,0.295,0.2672,0.4852,0.0059,-0.464,0.1529,0.1353,0.3225,0.4665,-0.9618,-0.6268,1.8343,0.4872,-1.0384,-0.4548,0.4584,-2.0246,-0.0414,-0.5101,-1.7648,-2.9057,0.1113,-0.9558,-0.4277,0.6994,3.4209,0.2765,0.189,-0.1931,0.8342,1.9314,1.9857,-0.6334,-1.0652,-1.7695,-1.6452,-0.8239,0.0443,1.3379,-0.6165,-0.0302,0.7204,-2.7519,-0.8856,0.3329,-0.4194,1.0908,0.4777,-1.1384,0.0715,-1.4455,-1.7625,-0.1616,-0.1964,0.2544,0.6609,-0.9956,0.1293,-0.0858,-0.774,0.2221,000001001001010000
111558,-0.5466,-0.4435,1.3946,-1.0997,-2.7821,1.8726,1.4439,0.4221,0.5001,1.2302,1.2751,0.3037,-0.0553,-0.1008,-0.1443,0.9438,-2.4012,-0.5284,-1.2396,-0.5854,1.2295,-0.1624,0.9927,0.5401,-0.6596,-0.8778,0.0978,0.895,-0.1926,-2.7455,-0.9347,-0.3936,1.5006,-1.1609,-1.4791,1.3074,-0.2156,-0.7732,0.4562,0.0298,-0.8261,-0.8798,-0.5318,-1.032,0.2291,1.3529,0.188,-0.7124,0.1556,0.5608,0.9775,0.4432,0.8378,1.1033,-0.6894,0.6122,-1.4802,1.1032,-0.5873,0.9272,1.5931,0.2662,0.3821,-1.7918,1.3987,1.1419,1.8307,-1.9325,1.3146,-0.9371,1.5218,-0.1865,2.8601,-1.5431,1.0575,-1.7299,0.2849,1.0397,-0.9696,-3.0253,-0.0702,0.7786,-0.1515,1.407,-0.6882,-1.9011,-0.9775,-1.2432,-0.6282,-1.7085,-0.0475,0.3026,0.6426,-0.5927,-1.6057,-1.2333,-1.7754,-0.8437,-0.5396,0.0901,000001000000000000
111559,2.234,-0.37731,0.12162,0.48783000000000004,-0.33146,-1.3596,-0.050783999999999996,1.0602,1.738,0.0029181,0.7935800000000001,1.6124,-1.394,-0.81931,-0.30193000000000003,0.24986,-0.98526,-0.002075,-1.0476,1.3817,-0.3553,1.5209,1.3715,0.49298000000000003,0.29091,0.7360399999999999,-1.2507,-0.12525999999999998,0.67847,0.37385,-1.0026,0.50434,-1.2671,0.7983,1.0178,-0.34895,0.016694999999999998,-1.0671,0.063831,-0.46162,-1.6499,0.6685399999999999,-0.8343299999999999,-1.4425,1.2967,-0.55356,1.861,-0.13708,0.12992,-1.887,0.23931,0.17272,0.7830600000000001,-0.25298000000000004,-0.83029,-0.8377399999999999,-0.53067,-0.67901,-0.49668,-0.47352,-0.38134,-0.020146999999999998,-0.36403,0.13684000000000002,-0.41157,1.8169,0.7152,-2.015,-1.5553,0.59025,-1.4753,0.019837,-0.33660999999999996,0.65391,0.97772,-1.4186,0.41285,-1.3523,-0.91238,-0.50316,-0.061333000000000006,-2.4823,-0.18427000000000002,0.54448,-1.3614,1.707,0.24963000000000002,-1.2867,-1.0915,-0.12361,0.09428099999999999,0.85598,-1.6183,1.0837,-0.36062,-0.34956,-0.32924000000000003,0.090679,-0.96675,1.6343,000001000000010100
111560,1.4889,0.8313,-1.9696,-1.5838,0.9968,-0.1301,1.0348,0.8446,1.4893,-0.6986,-1.2192,-0.1552,0.5689,0.4435,-0.1674,1.1415,-0.0662,-1.1338,-1.5688,0.5896,-0.7865,2.5357,-0.4209,-1.1499,-2.0126,0.0853,1.7255,-1.0444,-0.3925,0.8493,1.4998,0.741,-0.0106,0.6849,0.2992,0.603,-2.1968,-1.2889,0.5258,1.1009,-0.7282,0.4221,-0.4913,0.1823,1.6671,-0.2239,1.0748,0.2379,-0.6065,0.0717,-0.2028,1.6553,0.3305,2.7438,-0.5332,-2.7455,0.5712,0.2238,-0.1603,-0.1897,-1.453,0.1838,0.9657,1.2857,0.8146,1.6156,0.2353,0.1796,-1.8928,-0.7615,1.3475,0.2456,-0.8531,-0.054,0.4325,1.2753,0.4911,0.3604,-2.0353,-0.415,0.1112,-0.2501,0.0574,1.2217,1.0608,0.2331,0.0107,-0.274,-0.8277,0.7074,0.5447,-2.546,-0.2754,0.4551,-1.2231,-2.9781,-0.1627,0.0192,-1.5837,0.3547,000000001000010000
111561,-0.8753,-0.9943,-1.3623,-1.1802,-1.1922,0.5467,1.1655,-1.0457,-0.408,-1.8059,1.15,-0.5692,-0.9371,0.5113,0.5696,-1.9036,-0.5731,0.5786,-0.2474,-0.7993,-0.9207,-0.7429,-0.6048,-2.4917,0.6221,-0.5321,0.3664,0.735,-0.306,-1.4609,-1.4633,1.4698,-0.2636,-0.6215,2.8704,0.7995,-0.1886,-1.0221,0.1201,-1.3562,0.6486,-1.6917,0.4286,-0.6026,-1.8761,-1.0983,-1.1853,-1.5359,-0.1193,-1.2723,0.5035,-0.251,-0.4244,-1.1725,1.3313,-0.6008,1.2953,-1.1738,-1.7589,-1.9448,-0.9495,0.1365,-0.0665,-1.4569,-1.3258,-0.4223,0.7826,0.9057,-0.0848,-1.5195,-0.2252,1.0515,-0.6107,0.5534,-1.2481,-0.6304,0.503,1.6287,-0.3483,0.3129,-0.297,-0.2941,-0.1514,-1.1676,-1.7414,-0.2195,-1.2798,1.2697,1.2506,-0.6619,-0.8528,-1.5811,1.4334,-0.4223,-1.1417,0.7434,0.0817,0.937,0.747,-0.3689,000001000010010000
111563,-0.6165,-0.3835,-0.9338,-1.4236,-0.2673,-0.7334,-1.0822,0.4783,-0.8506,2.9227,-1.498,0.221,-0.3715,3.0396,0.1532,0.5065,0.8628,0.9375,-0.6288,0.269,1.0893,-0.1212,-0.6909,-0.1808,-1.7104,0.3573,-0.7783,-1.3191,0.0335,-0.7368,-0.7701,-1.7673,-1.127,-1.0909,0.0951,0.1577,1.5326,1.2953,-1.0796,2.1151,-0.6065,-0.1956,-0.6057,-0.7984,0.3122,2.196,-1.3797,0.8957,-0.458,0.8775,-0.129,0.6554,0.5498,-1.9244,0.2996,-0.8931,-0.6297,0.1123,-0.2037,0.1896,-0.0739,0.0901,0.7223,-0.2961,-1.7971,0.9716,-0.8303,1.0605,0.5252,-0.0653,1.0207,-0.7674,-1.337,-0.2722,1.8251,-0.8487,-2.3555,-0.3983,0.0175,0.3384,1.8595,0.017,-0.603,-1.5426,-0.0588,-0.5105,-0.0607,-0.1661,-0.2226,0.856,-2.1026,-0.8772,0.8569,-0.8881,0.3427,2.3565,-2.0641,0.5067,1.7039,0.7872,000000001001010000
111564,-0.26541,-0.42746999999999996,0.3196,-0.5441,-0.8668,0.028515,-0.087636,0.063013,0.8242799999999999,-0.47897,-2.9692,-1.4989,-0.77258,-0.64575,-0.32959,-1.5153,-0.9680799999999999,1.2085,0.7915800000000001,-0.25288,-1.0136,1.1482,-0.12278,-0.26128,0.45765,0.59451,1.2163,1.5591,0.093199,1.6045,1.5241,3.017,0.35641,-0.30334,-0.21815,0.44168999999999997,0.085156,-1.0935,-1.0165,-0.050783999999999996,-1.1065,-0.14104,-0.23955,-0.23162,0.55502,0.18592999999999998,0.40487,1.2524,-0.5498,-0.83029,-0.29705,0.95939,1.3659,0.12185,-0.11692000000000001,-0.059524,-6.1333e-05,0.36159,2.0001,-0.62285,-1.006,0.8757299999999999,-1.0395,0.53164,0.82673,-0.9896299999999999,-1.3982,0.58226,0.11091,0.5007199999999999,-0.13354000000000002,0.38911999999999997,0.042126,1.1149,0.37013,-0.5938399999999999,2.0673,1.275,2.5783,-0.7709600000000001,-0.6937,0.13383,-1.0073,0.55288,-2.0236,0.043273,-0.8494200000000001,1.5231,1.0258,0.58997,-1.4351,-0.46053999999999995,0.64872,-0.083485,1.5918,1.9086,-1.5991,1.6231,0.47638,-1.0196,010000001011001000
