C:\Users\hp\DataSet\contracts\ropsten\9f\9f728a1996c5197a3451f84d8f329b900aaf2aa9_SingularityTest6.sol
jar:file:/C:/Users/hp/AppData/Roaming/npm/node_modules/@smartdec/smartcheck/jdeploy-bundle/smartcheck-2.0-jar-with-dependencies.jar!/solidity-rules.xmlruleId: SOLIDITY_ARRAY_LENGTH_MANIPULATION
patternId: 43ba1c
severity: 1
line: 44
column: 4
content: Tx.length++

ruleId: SOLIDITY_DIV_MUL
patternId: 09hhh1
severity: 2
line: 51
column: 36
content: (Tx[counter].txvalue/100)*3

ruleId: SOLIDITY_DIV_MUL
patternId: 09hhh1
severity: 2
line: 64
column: 36
content: (Tx[counter].txvalue/100)*3

ruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: k4o1l4
severity: 1
line: 50
column: 8
content: while(counter>0){Tx[counter].txuser.send((Tx[counter].txvalue/100)*3);counter-=1;}

ruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: k4o1l4
severity: 1
line: 63
column: 8
content: while(counter>0){Tx[counter].txuser.send((Tx[counter].txvalue/100)*3);counter-=1;}

ruleId: SOLIDITY_UNCHECKED_CALL
patternId: f39eed
severity: 3
line: 39
column: 15
content: send(feecounter)

ruleId: SOLIDITY_UNCHECKED_CALL
patternId: f39eed
severity: 3
line: 51
column: 31
content: send((Tx[counter].txvalue/100)*3)

ruleId: SOLIDITY_UNCHECKED_CALL
patternId: f39eed
severity: 3
line: 64
column: 31
content: send((Tx[counter].txvalue/100)*3)

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 21
column: 4
content: functionSingularityTest6(){owner=msg.sender;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 25
column: 4
content: function(){Sort();if(msg.sender==owner){Count();startTime=now;Timer();}}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 49
column: 4
content: functionCount()onlyowner{while(counter>0){Tx[counter].txuser.send((Tx[counter].txvalue/100)*3);counter-=1;}}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 56
column: 4
content: functionTimer(){if((startTime+lockTime)<now){Paye();}}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 62
column: 4
content: functionPaye(){while(counter>0){Tx[counter].txuser.send((Tx[counter].txvalue/100)*3);counter-=1;}startTime=now;Timer();}

ruleId: SOLIDITY_VISIBILITY
patternId: b51ce0
severity: 1
line: 13
column: 4
content: addressowner;

SOLIDITY_VISIBILITY :6
SOLIDITY_ARRAY_LENGTH_MANIPULATION :1
SOLIDITY_EXTRA_GAS_IN_LOOPS :2
SOLIDITY_UNCHECKED_CALL :3
SOLIDITY_DIV_MUL :2
