C:\Users\hp\DataSet\contracts\ropsten\80\8096550d279a10407b9e46a2f1e242b4081a8a41_ICO.sol
jar:file:/C:/Users/hp/AppData/Roaming/npm/node_modules/@smartdec/smartcheck/jdeploy-bundle/smartcheck-2.0-jar-with-dependencies.jar!/solidity-rules.xmlruleId: SOLIDITY_ADDRESS_HARDCODED
patternId: adc165
severity: 1
line: 312
column: 43
content: 0x5a57f94e4a1c6854a78f994ba759d26266fc867f

ruleId: SOLIDITY_ERC20_APPROVE
patternId: af782c
severity: 2
line: 137
column: 2
content: functionapprove(address_spender,uint256_value)publicreturns(bool){allowed[msg.sender][_spender]=_value;Approval(msg.sender,_spender,_value);returntrue;}

ruleId: SOLIDITY_LOCKED_MONEY
patternId: 30281d
severity: 3
line: 302
column: 0
content: contractICO{usingSafeMathforuint256;Tokenpublictoken;uint256publiccollected;uint256publicdate_start=1537030800;uint256publicdate_end=1537894800;uint256publichard_cap=100ether;uint256publicrate=10;addresspublicfunds_address=address(0x5a57f94e4a1c6854a78f994ba759d26266fc867f);functionICO()publicpayable{token=newToken();}function()publicpayable{require(now>=date_start&&now<=date_end&&collected.add(msg.value)<hard_cap);token.mint(msg.sender,msg.value.mul(rate));funds_address.transfer(msg.value);collected=collected.add(msg.value);}functiontotalTokens()publicviewreturns(uint){returntoken.totalSupply();}functiondaysRemaining()publicviewreturns(uint){if(now>date_end){return0;}returndate_end.sub(now).div(1days);}functioncollectedEther()publicviewreturns(uint){returncollected.div(1ether);}}

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 1
column: 16
content: ^

ruleId: SOLIDITY_SAFEMATH
patternId: 837cac
severity: 1
line: 66
column: 2
content: usingSafeMathforuint256;

ruleId: SOLIDITY_SAFEMATH
patternId: 837cac
severity: 1
line: 304
column: 4
content: usingSafeMathforuint256;

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 91h3sa
severity: 1
line: 319
column: 16
content: public

ruleId: SOLIDITY_VISIBILITY
patternId: b51ce0
severity: 1
line: 68
column: 2
content: mapping(address=>uint256)balances;

ruleId: SOLIDITY_VISIBILITY
patternId: b51ce0
severity: 1
line: 291
column: 39
content: MHQBToken&39;;

ruleId: SOLIDITY_VISIBILITY
patternId: b51ce0
severity: 1
line: 292
column: 41
content: MHQB&39;;

SOLIDITY_VISIBILITY :3
SOLIDITY_SAFEMATH :2
SOLIDITY_PRAGMAS_VERSION :1
SOLIDITY_LOCKED_MONEY :1
SOLIDITY_ADDRESS_HARDCODED :1
SOLIDITY_UPGRADE_TO_050 :1
SOLIDITY_ERC20_APPROVE :1
