C:\Users\hp\DataSet\contracts\ropsten\f0\f0fba85b562ebc6c885e1198b37d151f199a0df2_PlayDice.sol
jar:file:/C:/Users/hp/AppData/Roaming/npm/node_modules/@smartdec/smartcheck/jdeploy-bundle/smartcheck-2.0-jar-with-dependencies.jar!/solidity-rules.xmlruleId: SOLIDITY_ARRAY_LENGTH_MANIPULATION
patternId: 872bdd
severity: 1
line: 266
column: 8
content: unfinishedRoomID.length--

ruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: d3j11j
severity: 1
line: 53
column: 8
content: for(uinti=startID-1;i<unfinishedRoomID.length;i++){backUnfinishedRoomIDs[i]=unfinishedRoomID[i];}

ruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: d3j11j
severity: 1
line: 67
column: 8
content: for(uinti=0;i<finishedRoomID.length;i++){backFinishedRoomIDs[i]=finishedRoomID[i];}

ruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: d3j11j
severity: 1
line: 81
column: 8
content: for(uinti=0;i<hotWinRoomID.length;i++){backHotWinRoomId[i]=hotWinRoomID[i];}

ruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: d3j11j
severity: 1
line: 172
column: 8
content: for(i=0;i<allRoomsMap[roomID].playerEnterdCount;i++){addressplayAdd=allRoomsMap[roomID].addressList[i];playerRollNum[playAdd]=i+1;allRoomsMap[roomID].rollNumList[i]=i+1;if(i==1||i==2){playerRollNum[playAdd]=6;allRoomsMap[roomID].rollNumList[i]=6;}if(allRoomsMap[roomID].rollNumList[i]>maxNum){maxNum=allRoomsMap[roomID].rollNumList[i];}}

ruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: d3j11j
severity: 1
line: 194
column: 8
content: for(i=0;i<allRoomsMap[roomID].playerEnterdCount;i++){addressplayer=allRoomsMap[roomID].addressList[i];if(playerRollNum[player]==maxNum){winnerAdd.push(player);}}

ruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: d3j11j
severity: 1
line: 202
column: 8
content: for(i=0;i<allRoomsMap[roomID].playerEnterdCount;i++){winnerM+=allRoomsMap[roomID].roomMoney;allRoomsMap[roomID].winMoneyList[i]=0;}

ruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: d3j11j
severity: 1
line: 209
column: 8
content: for(i=0;i<allRoomsMap[roomID].playerEnterdCount;i++){for(j=0;j<winnerAdd.length;j++){if(allRoomsMap[roomID].addressList[i]==winnerAdd[j]){allRoomsMap[roomID].winMoneyList[i]=winnerM;}else{allRoomsMap[roomID].winMoneyList[i]=0;}}}

ruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: d3j11j
severity: 1
line: 210
column: 12
content: for(j=0;j<winnerAdd.length;j++){if(allRoomsMap[roomID].addressList[i]==winnerAdd[j]){allRoomsMap[roomID].winMoneyList[i]=winnerM;}else{allRoomsMap[roomID].winMoneyList[i]=0;}}

ruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: d3j11j
severity: 1
line: 254
column: 8
content: for(i=0;i<unfinishedRoomID.length;i++){if(unfinishedRoomID[i]==roomID){break;}}

ruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: d3j11j
severity: 1
line: 261
column: 12
content: for(i;i<unfinishedRoomID.length-1;i++){unfinishedRoomID[i]=unfinishedRoomID[i+1];}

ruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: d3j11j
severity: 1
line: 284
column: 8
content: for(i;i<allRoomsMap[roomID].addressList.length;i++){if(msg.sender==allRoomsMap[roomID].addressList[i]){amount=allRoomsMap[roomID].winMoneyList[i];allRoomsMap[roomID].winMoneyList[i]=0;break;}}

ruleId: SOLIDITY_GAS_LIMIT_IN_LOOPS
patternId: f6f853
severity: 2
line: 67
column: 8
content: for(uinti=0;i<finishedRoomID.length;i++){backFinishedRoomIDs[i]=finishedRoomID[i];}

ruleId: SOLIDITY_GAS_LIMIT_IN_LOOPS
patternId: f6f853
severity: 2
line: 81
column: 8
