C:\Users\hp\DataSet\EtherDividendCheckpoint.sol
jar:file:/C:/Users/hp/AppData/Roaming/npm/node_modules/@smartdec/smartcheck/jdeploy-bundle/smartcheck-2.0-jar-with-dependencies.jar!/solidity-rules.xmlruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: d3j11j
severity: 1
line: 152
column: 8
content: for(uint256j=0;j<_excluded.length;j++){require(_excluded[j]!=address(0),"Invalid address");require(!dividends[dividendIndex].dividendExcluded[_excluded[j]],"duped exclude address");excludedSupply=excludedSupply.add(securityToken.balanceOfAt(_excluded[j],_checkpointId));dividends[dividendIndex].dividendExcluded[_excluded[j]]=true;}

ruleId: SOLIDITY_GAS_LIMIT_IN_LOOPS
patternId: f6f853
severity: 2
line: 152
column: 8
content: for(uint256j=0;j<_excluded.length;j++){require(_excluded[j]!=address(0),"Invalid address");require(!dividends[dividendIndex].dividendExcluded[_excluded[j]],"duped exclude address");excludedSupply=excludedSupply.add(securityToken.balanceOfAt(_excluded[j],_checkpointId));dividends[dividendIndex].dividendExcluded[_excluded[j]]=true;}

ruleId: SOLIDITY_LOCKED_MONEY
patternId: 30281d
severity: 3
line: 9
column: 0
