C:\Users\hp\DataSet\contracts\mainnet\30\303f942c01f3ecb52b60b0a609b853b067d839c0_Totalizeum.sol
jar:file:/C:/Users/hp/AppData/Roaming/npm/node_modules/@smartdec/smartcheck/jdeploy-bundle/smartcheck-2.0-jar-with-dependencies.jar!/solidity-rules.xmlruleId: SOLIDITY_BALANCE_EQUALITY
patternId: 5094ad
severity: 1
line: 135
column: 16
content: market.balance==0

ruleId: SOLIDITY_DEPRECATED_CONSTRUCTIONS
patternId: 28fa69
severity: 1
line: 62
column: 4
content: functionbalanceOf(address_owner)constantreturns(uint256){returnbalances[_owner];}

ruleId: SOLIDITY_DEPRECATED_CONSTRUCTIONS
patternId: 28fa69
severity: 1
line: 113
column: 4
content: functionallowance(address_owner,address_spender)constantreturns(uint256){returnallowed[_owner][_spender];}

ruleId: SOLIDITY_DEPRECATED_CONSTRUCTIONS
patternId: 28fa69
severity: 1
line: 254
column: 4
content: functionmarketState(address_oracle,uint256_timestamp)constantreturns(MarketState,uint256,uint256,uint256){Marketstoragemarket=markets[_oracle][_timestamp];Resolvestorage_resolve=market.resolve;return(market.state,market.balance,_resolve.winningOutcomes,_resolve.remainingBalance);}

ruleId: SOLIDITY_DEPRECATED_CONSTRUCTIONS
patternId: 28fa69
severity: 1
line: 264
column: 4
content: functionoutcomeState(address_oracle,uint256_timestamp,uint256_outcome)constantreturns(bool,uint256){Outcomestorageoutcome=markets[_oracle][_timestamp].outcomes[_outcome];return(outcome.won,outcome.balance);}

ruleId: SOLIDITY_DIV_MUL
patternId: 09hhh1
severity: 2
line: 187
column: 49
content: market.balance/1000*settings.share

ruleId: SOLIDITY_DIV_MUL
patternId: 09hhh1
severity: 2
line: 216
column: 32
content: market.balance*sub/1000*settings.share/_resolve.winningOutcomes/outcome.balance*amount

ruleId: SOLIDITY_DIV_MUL
patternId: 09hhh1
severity: 2
line: 216
column: 32
content: market.balance*sub/1000*settings.share

ruleId: SOLIDITY_LOCKED_MONEY
patternId: 30281d
severity: 3
line: 3
column: 0
