C:\Users\hp\DataSet\contracts\ropsten\2b\2b9843485c47c51025215ec37bc10e8e1377b3e4_ForeignBridge.sol
jar:file:/C:/Users/hp/AppData/Roaming/npm/node_modules/@smartdec/smartcheck/jdeploy-bundle/smartcheck-2.0-jar-with-dependencies.jar!/solidity-rules.xmlruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: d3j11j
severity: 1
line: 9
column: 8
content: for(uint256i=0;i<array.length;i++){if(array[i]==value){returntrue;}}

ruleId: SOLIDITY_GAS_LIMIT_IN_LOOPS
patternId: f6f853
severity: 2
line: 9
column: 8
content: for(uint256i=0;i<array.length;i++){if(array[i]==value){returntrue;}}

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 1
column: 16
content: ^

ruleId: SOLIDITY_SHOULD_NOT_BE_PURE
patternId: 11314f
severity: 1
line: 89
column: 4
content: functionrecoverAddressFromSignedMessage(bytessignature,bytesmessage)internalpurereturns(address){require(signature.length==65);bytes32r;bytes32s;bytes1v;assembly{r:=mload(add(signature,0x20))s:=mload(add(signature,0x40))v:=mload(add(signature,0x60))}returnecrecover(hashMessage(message),uint8(v),r,s);}

ruleId: SOLIDITY_SHOULD_NOT_BE_PURE
patternId: 11314f
severity: 1
line: 137
column: 4
content: functiongetRecipient(bytesmessage)internalpurereturns(address){addressrecipient;assembly{recipient:=mload(add(message,20))}returnrecipient;}

ruleId: SOLIDITY_SHOULD_NOT_BE_PURE
patternId: 11314f
severity: 1
line: 146
column: 4
content: functiongetValue(bytesmessage)internalpurereturns(uint256){uint256value;assembly{value:=mload(add(message,52))}returnvalue;}

ruleId: SOLIDITY_SHOULD_NOT_BE_PURE
patternId: 11314f
severity: 1
line: 155
column: 4
content: functiongetTransactionHash(bytesmessage)internalpurereturns(bytes32){bytes32hash;assembly{hash:=mload(add(message,84))}returnhash;}

ruleId: SOLIDITY_SHOULD_NOT_BE_PURE
patternId: 11314f
severity: 1
line: 164
column: 4
content: functiongetHomeGasPrice(bytesmessage)internalpurereturns(uint256){uint256gasPrice;assembly{gasPrice:=mload(add(message,116))}returngasPrice;}

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 901eae
severity: 1
line: 105
column: 15
content: keccak256(prefix,Helpers.uintToString(message.length),message)

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 901eae
severity: 1
line: 460
column: 19
content: keccak256(recipient,value,transactionHash)

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 91h3sa
severity: 1
line: 251
column: 16
content: public

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 341gim
severity: 1
line: 8
column: 34
content: address[]array

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 341gim
severity: 1
line: 19
column: 69
content: string

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 341gim
severity: 1
line: 43
column: 38
content: bytesmessage

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 341gim
severity: 1
line: 43
column: 53
content: uint8[]vs

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 341gim
severity: 1
line: 43
column: 65
content: bytes32[]rs

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 341gim
severity: 1
line: 43
column: 79
content: bytes32[]ss

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 341gim
severity: 1
line: 43
column: 93
content: address[]allowed_signers

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 341gim
severity: 1
line: 72
column: 34
content: address[]array

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 341gim
severity: 1
line: 76
column: 67
content: stringstr

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 341gim
severity: 1
line: 80
column: 38
content: bytesmessage

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 341gim
severity: 1
line: 80
column: 53
content: uint8[]vs

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 341gim
severity: 1
line: 80
column: 65
content: bytes32[]rs

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 341gim
severity: 1
line: 80
column: 79
content: bytes32[]ss

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 341gim
severity: 1
line: 80
column: 93
content: address[]addresses

ruleId: SOLIDITY_UPGRADE_TO_050
