id,node_type
47,PostfixExpression DOWN
7,EnumDeclaration UP
41,FieldAccess UP
43,VariableDeclarationExpression UP
61,ConditionalExpression UP
17,ArrayType DOWN
20,TypeDeclaration DOWN
37,ArrayAccess UP
21,MethodInvocation UP
1,SimpleType UP
23,Block DOWN
29,ReturnStatement DOWN
28,InfixExpression DOWN
58,PrefixExpression DOWN
60,WhileStatement DOWN
35,CompilationUnit UP
2,MethodDeclaration UP
13,FieldDeclaration UP
63,ArrayCreation UP
39,VariableDeclarationStatement UP
25,ExpressionStatement UP
11,EnumConstantDeclaration UP
55,SuperMethodInvocation DOWN
15,VariableDeclarationFragment DOWN
5,SingleVariableDeclaration DOWN
59,WhileStatement UP
54,SuperMethodInvocation UP
12,Initializer UP
31,Assignment DOWN
34,ReturnStatement UP
50,ParenthesizedExpression UP
33,IfStatement DOWN
8,EnumDeclaration DOWN
26,Block UP
44,VariableDeclarationExpression DOWN
57,ClassInstanceCreation UP
38,ArrayAccess DOWN
10,Initializer DOWN
30,Assignment UP
51,AssertStatement UP
4,SingleVariableDeclaration UP
18,VariableDeclarationFragment UP
45,ForStatement UP
14,FieldDeclaration DOWN
64,ArrayCreation DOWN
32,IfStatement UP
46,ForStatement DOWN
52,AssertStatement DOWN
24,ExpressionStatement DOWN
3,MethodDeclaration DOWN
19,TypeDeclaration UP
22,MethodInvocation DOWN
16,ArrayType UP
49,PrefixExpression UP
27,InfixExpression UP
36,CompilationUnit DOWN
9,EnumConstantDeclaration DOWN
48,PostfixExpression UP
53,ParenthesizedExpression DOWN
42,FieldAccess DOWN
62,ConditionalExpression DOWN
56,ClassInstanceCreation DOWN
40,VariableDeclarationStatement DOWN
6,SimpleType DOWN
