_id,LOC
100778,97
100832,1040
100906,4601
100937,64
101021,195
102007,602
102334,3896
102600,224
102667,86
102749,3996
103193,164
103483,3752
103596,103
103646,129
103653,3644
104017,2668
104239,425
104402,54
104452,959
104783,223
104809,3752
104819,3939
105200,2750
105377,63
105455,3939
105561,610
105788,3864
105867,3895
105991,294
106186,3945
106230,1040
106283,4601
106359,3754
106437,3928
106604,141
106647,180
106674,2750
106815,65
106822,677
106927,168
106958,259
10831,485
109189,861
113086,467
113642,697
11367,598
113950,396
114147,540
11440,224
114633,1010
11592,81
116532,563
117037,594
117776,588
11857,60
11911,268
120360,539
120909,318
12211,360
13789,111
14424,60
14503,396
14525,270
15020,268
15160,701
15325,57
15701,485
16440,994
16471,151
16825,284
16861,191
17264,485
17518,214
17562,296
18048,257
18385,308
18476,112
18551,485
18655,107
18743,540
19068,360
19446,71
19523,218
19710,62
19714,65
19951,328
20034,1010
20062,57
20091,402
20203,436
20280,109
20288,32
20307,31
20369,534
20416,132
20769,274
21010,35
21079,1237
21201,459
21535,994
21551,598
21717,104
21752,409
22012,345
22492,316
22501,428
22701,424
22833,18
22878,185
23020,191
23344,408
23431,561
23535,218
23577,752
23719,639
23836,354
23978,144
24241,317
24435,28
24504,29
24752,313
24792,133
24893,339
25065,259
25135,246
25386,238
25459,398
25498,443
25594,107
25841,288
25990,8
26003,471
26071,321
26197,98
26237,1077
26502,85
26767,174
27295,145
27391,275
27628,188
27662,158
27713,788
27750,140
27974,203
28157,325
28326,140
28546,165
28642,32
28645,188
28719,598
28902,403
28905,436
29167,89
29309,561
29359,230
29492,588
29943,598
30060,389
30147,214
30397,485
30409,257
30906,351
30940,423
31459,172
31572,206
32413,282
32528,479
32533,311
32544,360
32559,73
32679,8
32799,151
32802,204
32968,99
33078,38
33150,184
33258,220
33503,843
33590,288
33676,928
33794,94
33796,607
33913,62
34138,318
34166,195
34265,443
34304,676
34327,128
34360,293
34384,494
34757,218
34760,355
34795,476
34804,27
34811,154
34947,1522
35186,359
35202,423
35236,443
35464,87
35556,191
35559,208
35607,153
35713,237
35735,116
35822,188
35855,497
35872,204
36014,282
36047,541
36067,374
36110,127
36134,279
36146,562
36191,205
36522,318
36823,111
36860,63
37025,345
37197,663
37317,350
37389,63
37530,63
37561,86
37703,210
37730,449
37852,210
38033,196
38153,66
38265,594
38275,57
38341,157
38350,532
38670,17
38774,991
38909,218
39107,212
39130,263
39174,403
39453,75
39502,336
39627,434
39682,66
39715,63
39724,236
39841,291
39881,306
39920,213
40110,35
40160,576
40288,439
40327,581
40559,218
40603,204
40660,214
40755,218
40853,204
40901,336
41083,106
41333,160
41337,222
41431,363
41455,563
41528,841
41562,292
41663,228
41707,204
41746,319
42082,95
42184,291
42217,72
42366,721
42374,397
42663,153
42953,52
43755,32
43790,113
43792,253
44003,200
44015,333
44255,167
44272,14
44539,18
44624,17
44697,131
45462,266
45493,111
45591,85
45685,169
45770,140
46203,438
46309,264
46313,171
46316,132
46623,135
46907,68
47090,193
47249,293
47662,154
47679,274
47688,95
47713,147
47944,96
47984,150
48044,518
48271,87
48447,228
48491,11
48543,59
48564,313
48721,341
48746,754
48769,83
48846,195
49185,288
49191,268
49720,252
49770,176
50004,13
50033,94
50044,173
50050,158
50075,226
50163,437
50226,264
50364,239
50432,52
50471,310
50480,11
50586,236
50656,625
50896,1106
50967,85
51082,469
51122,827
51138,90
51162,264
51236,510
51264,264
51290,147
51295,318
51311,91
51613,123
51650,163
51733,251
51765,588
51900,85
52009,617
52052,144
52103,206
52221,711
52558,50
52754,24
52756,102
52866,240
52913,399
52981,116
52997,62
53163,116
53235,227
53294,308
53451,199
53483,162
53581,300
53629,343
53689,122
53722,133
53798,31
53819,241
53823,59
54275,5
54303,245
54338,378
54411,457
54515,315
54585,147
54707,250
54781,62
54786,257
54923,147
54991,336
55222,140
55227,186
55406,189
55428,204
55442,191
55485,96
55520,119
55571,7
55621,326
55667,67
55768,170
55795,120
55820,264
56157,191
56242,323
56243,198
56322,32
56330,657
56342,169
56503,329
56674,139
56756,157
57031,167
57034,92
57140,60
57214,480
57404,102
57473,77
57519,97
57628,250
57663,446
57707,199
57751,113
57790,8
57805,752
57874,268
58060,38
58160,337
58341,301
58345,209
58360,119
58632,404
58658,168
58670,1120
58696,148
58731,158
58967,48
58995,1124
59153,97
59182,45
59185,17
59352,281
59487,86
59594,927
59609,164
59662,485
59676,668
59678,163
59848,301
59875,148
59990,525
60078,185
60091,270
60139,263
60140,85
60196,363
60215,509
60256,229
60363,384
60417,85
60486,270
60563,387
60644,699
60652,180
60789,191
60834,20
61017,154
61082,92
61084,265
61144,54
61169,167
61406,244
61414,39
61548,86
61613,48
61694,38
61736,176
61747,233
61771,319
61932,1130
62001,388
62043,129
62130,109
62191,66
62201,296
62318,116
62358,124
62385,151
62428,485
62429,155
62455,140
62491,265
62550,265
62686,61
62901,363
62907,87
62924,336
62970,166
63008,1122
63114,1082
63133,487
63139,226
63275,1123
63353,265
63408,823
63410,85
63455,1207
63691,124
63708,32
63780,97
63989,105
64035,329
64056,85
64078,318
64157,125
64176,326
64179,76
64204,236
64234,61
64318,137
64385,237
64467,107
64622,219
64794,189
64840,266
64873,694
64904,68
65011,315
65018,377
65061,248
65075,319
65078,298
65103,1122
65160,104
65248,222
65283,342
65458,51
65526,184
65575,147
65631,153
65632,307
65677,664
65828,262
65924,386
65968,195
66018,152
66019,96
66029,263
66136,515
66171,103
66260,190
66269,102
66319,84
66343,86
66382,1123
66395,140
66434,510
66568,269
66666,111
66723,45
66736,62
66785,292
66789,207
66857,578
66902,64
66976,365
67024,151
67088,262
67113,309
67198,177
67297,205
67397,351
67435,148
67455,315
67512,66
67733,169
67790,265
67814,116
67926,1133
67940,95
67950,166
68026,97
68051,176
68094,108
68155,20
68158,50
68170,38
68217,36
68230,162
97028,3570
97184,179
97195,2698
97359,3552
97467,92
97555,222
97627,381
97738,2750
97832,490
97833,623
97843,4601
97847,3371
97884,737
97938,579
98043,156
98175,623
98325,77
98503,3976
98574,2745
98657,159
98792,107
98838,107
98857,3241
99030,601
99035,2748
99218,72
99229,801
99254,1384
99319,86
99322,654
99392,134
99797,646
