id,path
1624,25 35 36 36 29 31
1937,11 25 35 36 21 22 24 16
3354,11 10 32 28 21 22 12 37 26
670,30 27 28 35 28 21 36 26
582,4 2 17 39 40 18 3 5 6
1567,1 4 2 44 45 8 6
2162,30 27 28 35 28 21 36 12
2825,15 11 30 27 28 21 22 12
2675,4 2 17 39 40 18 3 5 14
3223,25 25 35 36 21 22
3853,1 13 7 17 18 3 21 29 31
1422,1 2 3 21 22 16 16
1568,1 4 2 44 45 8 9
2629,25 25 10 32 28 21 29 31 26
185,11 30 27 28 21 29 12
2384,11 30 27 28 35 36 36 26
2867,11 30 27 28 35 36 36 16
526,11 30 27 28 21 29 31
1067,4 2 3 21 22 58
83,1 7 17 18 8 6
2871,11 11 30 27 28 21 36 21 29 31
2055,15 15 23 25 25 26 26 16
3733,23 25 25 25 26 26 16
1381,1 7 17 18 8 14
2180,44 17 18 3 5 6
84,1 7 17 18 8 9
2399,23 25 25 25 26 26 12
3695,1 7 17 18 8 9 26 12
2079,15 15 23 15 30 31 26 37 26
1124,11 11 10 7 17 18 8 9
2277,20 17 18 3 21 33 9
758,34 28 35 28 21 29 31
2276,20 17 18 3 21 33 6
3750,4 2 3 21 22 37
3036,1 13 4 2 3 21 29 12 26
3807,15 15 10 32 28 21 29 12 16
1036,11 42 25 35 36 22
1325,4 2 3 21 22 49
2892,4 2 44 45 19 21 29 12
3846,30 31 64 14 6
2808,11 10 32 28 21 22 24 24
1739,4 2 17 18 45
300,13 4 2 17 18 3 5
698,7 8 9 26 37 26
315,17 18 3 5 14
119,13 4 2 17 18 3 6
760,34 28 35 28 21 29 12
1828,4 2 3 21 59 37 26
1971,25 25 30 27 28 21 29 31 16 24
463,1 32 28 20 17 18 3 6
469,1 32 28 20 17 18 3 5
158,17 18 3 5 6
791,11 25 35 36 29 31
3355,11 10 32 28 21 22 12 37 12
2078,15 15 23 15 16
3074,13 4 2 17 17 18 18 8 9
78,4 2 17 18 8
519,11 25 35 28 21 29 31 12
3073,13 4 2 17 17 18 18 8 6
2775,1 2 17 17 17 18 8 9
1171,1 4 2 44 45 3 6
1564,1 4 2 44 45 3 5
141,11 23 24
1983,11 25 35 36 36 26 24 16
66,4 2 17 18 3
2774,1 2 17 17 17 18 8 6
3128,30 27 28 21 55 53 6
3559,25 50 51 21 36 26 12
2039,25 35 36 21 51 26 12
3129,30 27 28 21 55 53 9
2467,42 38 11 11 12
2013,23 30 31 26
222,4 2 17 18 18
77,4 2 17 18 19
3111,25 11 25 11 12
2569,10 7 44 45 8 9 12
2512,25 50 51 21 36 26 26
1486,4 2 3 21 22 26
2002,23 15 23 35 36 21 29 31
2012,15 23 30 31 26
1305,4 2 3 21 22 24
856,1 4 2 17 17 18 18 8 6
857,1 4 2 17 17 18 18 8 9
3189,15 11 25 26 12 16
3108,15 11 25 26 12 26
171,11 27 28 21 29 12 26
1800,34 28 2 17 18 3 5 14 6
2035,25 50 51 21 36 26 24
140,4 2 3 21 22 12
1524,11 10 32 28 21 22 26 12
