id,node_type
30,Assignment UP
51,WhileStatement DOWN
3,MethodDeclaration DOWN
20,Initializer UP
14,ArrayType DOWN
27,ExpressionStatement UP
4,SingleVariableDeclaration UP
9,VariableDeclarationFragment DOWN
59,AssertStatement DOWN
47,EnumConstantDeclaration UP
57,SuperMethodInvocation UP
63,ArrayCreation UP
39,CompilationUnit UP
1,SimpleType UP
36,IfStatement DOWN
56,PostfixExpression DOWN
32,VariableDeclarationStatement UP
62,ClassInstanceCreation DOWN
37,ParenthesizedExpression DOWN
43,PostfixExpression UP
53,VariableDeclarationExpression DOWN
21,Block DOWN
15,ArrayAccess UP
17,TypeDeclaration UP
31,Assignment DOWN
8,FieldDeclaration DOWN
58,SuperMethodInvocation DOWN
45,EnumDeclaration DOWN
42,PrefixExpression UP
13,ArrayType UP
19,Initializer DOWN
22,ReturnStatement DOWN
25,InfixExpression UP
6,SimpleType DOWN
35,IfStatement UP
46,EnumConstantDeclaration DOWN
29,ExpressionStatement DOWN
2,MethodDeclaration UP
11,MethodInvocation UP
38,ParenthesizedExpression UP
54,ForStatement UP
40,CompilationUnit DOWN
64,ArrayCreation DOWN
60,AssertStatement UP
61,ClassInstanceCreation UP
23,FieldAccess UP
5,SingleVariableDeclaration DOWN
48,ConditionalExpression UP
33,VariableDeclarationStatement DOWN
10,VariableDeclarationFragment UP
26,InfixExpression DOWN
24,FieldAccess DOWN
49,ConditionalExpression DOWN
12,MethodInvocation DOWN
52,VariableDeclarationExpression UP
44,EnumDeclaration UP
34,ReturnStatement UP
50,WhileStatement UP
55,ForStatement DOWN
41,PrefixExpression DOWN
16,ArrayAccess DOWN
28,Block UP
7,FieldDeclaration UP
18,TypeDeclaration DOWN
