id,path
53,11 5 15 16 14
94,3 13 15 17 18
2,1 3 4
66,1 3 17 18 4
30,5 15 16
74,3 13 15 17 18 16 6
19,9 11 3 13 14 4 12
70,1 3 17 18 16
73,3 13 15 17 18 16
12,11 3 4
62,13 15 16
65,1 3 17 18 4 2
15,13 14 4 12 10
10,9 11 3 4
25,9 11 3 13 14
64,13 15 16 14 4 12
82,1 3 17 18 4 2 12 10
22,3 13 14 4 12 10
47,9 11 5 6 12 10
72,3 17 18 16 6
91,9 11 1 3 17 18 16 6 12 10
4,7 8
28,15 16
69,3 17 18 16
87,9 11 1 3 17 18 4 2 12 10
27,15 16 6
56,9 11 5 15 16 14 4 12
61,3 13 15 16 14
7,11 12 10
84,3 17 18 4 2 12 10
41,11 1 3 4
90,9 11 1 3 17 18 16 6 12
29,15 16 14
93,3 17 18 16 6 12 10
51,15 16 6 12 10
20,9 11 3 13 14 4 12 10
23,3 13 14 4
68,3 17 18 4
52,11 5 15 16
35,15 16 14 4 12 10
9,7 9 11 3 4
44,11 5 6 12
79,13 15 17 18 4 2
86,9 11 1 3 17 18 4 2 12
38,9 11 12 10
80,13 15 17 18 4
18,7 9 11 3 13 14 4 12 10
63,13 15 16 14
32,5 15 16 14 4 12
31,5 15 16 14
34,15 16 14 4 12
77,3 13 15 17 18 4 2
75,13 15 17 18 16
26,3 13 14
60,3 13 15 16
6,7 9 10
57,9 11 5 15 16 14 4 12 10
76,13 15 17 18 16 6
43,11 5 6
59,9 11 3 13 15 16 14
92,3 17 18 16 6 12
95,13 15 17 18
55,9 11 5 15 16 14
45,9 11 5 6
81,1 3 17 18 4 2 12
83,3 17 18 4 2 12
33,5 15 16 14 4 12 10
37,11 3 13 14 4 12
54,9 11 5 15 16
17,7 9 11 3 13 14 4 12
85,9 11 1 3 17 18 4 2
1,1 2
3,5 6
11,9 10
13,13 14
36,13 14 4
89,9 11 1 3 17 18 16
5,9 10 8
67,3 17 18 4 2
42,9 11 1 3 4
24,11 3 13 14
39,1 2 12
48,5 6 12
21,3 13 14 4 12
40,1 2 12 10
46,9 11 5 6 12
49,5 6 12 10
58,9 11 3 13 15 16
8,11 12 10 8
16,13 14 4 12 10 8
71,1 3 17 18 16 6
88,11 1 3 17 18 16
78,3 13 15 17 18 4
50,15 16 6 12
14,13 14 4 12
