id,node_type
80,usingForDeclaration DOWN
86,enumDefinition DOWN
52,constructorDefinition DOWN
3,pragmaDirective UP
15,assemblyCall UP
38,eventParameterList DOWN
60,emitStatement DOWN
88,assemblyAssignment DOWN
72,tupleExpression DOWN
27,block UP
66,mapping DOWN
13,variableDeclarationStatement UP
41,stateVariableDeclaration UP
43,parameter UP
48,ifStatement DOWN
32,returnParameters DOWN
55,expressionList UP
19,assemblyBlock UP
24,assemblySwitch DOWN
73,nameValue UP
82,userDefinedTypeName DOWN
45,expressionStatement UP
8,modifierList DOWN
29,functionDefinition UP
6,parameterList DOWN
77,functionCallArguments UP
2,versionConstraint DOWN
50,modifierDefinition DOWN
26,inlineAssemblyStatement DOWN
62,typeName DOWN
39,eventDefinition UP
49,modifierDefinition UP
81,userDefinedTypeName UP
12,expression DOWN
34,contractDefinition DOWN
53,returnStatement UP
36,eventParameter DOWN
37,eventParameterList UP
65,mapping UP
5,parameterList UP
83,sourceUnit UP
51,constructorDefinition UP
70,modifierInvocation DOWN
75,nameValueList UP
21,assemblyCase UP
10,variableDeclaration DOWN
89,assemblyFor UP
78,functionCallArguments DOWN
44,parameter DOWN
9,variableDeclaration UP
33,contractDefinition UP
85,enumDefinition UP
79,usingForDeclaration UP
47,ifStatement UP
59,emitStatement UP
7,modifierList UP
22,assemblyCase DOWN
18,assemblyLocalDefinition DOWN
69,modifierInvocation UP
14,variableDeclarationStatement DOWN
58,functionCall DOWN
71,tupleExpression UP
25,inlineAssemblyStatement UP
42,stateVariableDeclaration DOWN
4,pragmaDirective DOWN
11,expression UP
28,block DOWN
63,forStatement UP
76,nameValueList DOWN
67,structDefinition UP
64,forStatement DOWN
1,versionConstraint UP
54,returnStatement DOWN
90,assemblyFor DOWN
84,sourceUnit DOWN
35,eventParameter UP
68,structDefinition DOWN
40,eventDefinition DOWN
87,assemblyAssignment UP
46,expressionStatement DOWN
31,returnParameters UP
30,functionDefinition DOWN
61,typeName UP
23,assemblySwitch UP
56,expressionList DOWN
20,assemblyBlock DOWN
57,functionCall UP
74,nameValue DOWN
16,assemblyCall DOWN
17,assemblyLocalDefinition UP
