id,path
6710,11 45 27 51 33 83 84 34 80
4445,29 30 28 54 12 78 76
12798,65 41 33 83 84 34 52 28 46
8575,11 13 27 28 64 28 46 12 12 12 12 12 12 12 12
11333,11 11 11 13 27 28 48 28 46 12 12 12 12 12 12
4582,11 11 45 27 29 33 34 30 28 46 12 56
5369,27 63 27 29 33 34 30 28 54 12
8978,11 55 11 11 13 27 29 33 34 30 32 6
6011,69 70 56
2318,67 33 34 50 28
10258,11 11 45 27 29 33 34 30 28 46 12 72
3,3 4 2
10913,29 30 28 48 28 46 12 12 12
9464,11 47 27 28 26 20 88 16 16
2316,67 33 34 50 6
7935,9 13 27 28 26 20 88
5150,55 11 11 55 11 11 53 27 29 33 34 30 28 54 12 56
7937,9 13 27 28 26 20 90
11582,5 29 33 83 84 34 52 28 46
3467,11 45 63 64 28 46 12 56 12 56
12201,1 3 83 84 34 30 28 26 20 88 16
10151,11 11 55 11 45 27 49 33 34 30
8591,7 29 30 28 64 28 46 12 12 12 12 12 12 12
9932,11 45 27 49 33 34 50 28 14 12 12
7678,9 13 27 29 33 34 30 28 54 12
7720,15 89 90 20 16
6585,29 33 83 84 34 42 82
11897,5 29 33 83 84 34 52 28 60
2659,11 11 45 27 29 33 34 30 28 54 72 12 12
5200,11 55 11 11 11 11 11 53 27 29 33 34 30 28 54 12
7745,19 20 90 20 18
1377,11 47 27 29 33 34 30 28 60
766,27 28 64 46 12
11566,39 33 83 84 34 52 28 46 12 12
6855,11 45 27 51 33 83 84
9189,15 87 19 25 27 29 33 34 30 28 64 12
9186,15 87 19 25 27 29 33 34 30 28 64 14
9625,71 11 12
1550,11 47 27 29 33 34 30 28 54
5140,55 11 11 55 11 11 53 27 29 33 34 30 28 54 12 12
6080,55 69 7 51 33 34 30 32 6
12351,29 33 83 84 34 42 66
4328,5 29 30 28 64 28 46 12 12 12
10164,5 49 33 34 52 28 46 12 12
12504,29 33 83 84 34 42 62
4532,11 55 11 11 11 47 27 28 54
3105,55 11 45 27 47 27 28 48 12 12
1747,9 13 27 63 27 29 33 34 30 28 14
10141,11 11 55 11 45 27 49 33 34 52
203,15 17 19 25 27 29 33 34 30
735,45 63 64 12
10013,11 11 55 11 45 27 49 33 34 50
1372,11 47 27 29 33 34 30 28 48
5391,11 45 27 63 27 29 33 34 30 28 54 12
1381,11 47 27 29 33 34 30 28 46
11905,27 29 33 83 84 34 52 28 60 58 56
7718,15 89 90 20 88
9188,15 87 19 25 27 29 33 34 30 28 64 46
8987,11 55 11 11 13 27 29 33 34 30 28 64
1587,45 27 29 33 34 30 6 44 62
5131,55 11 11 55 11 11 53 27 29 33 34 30
1786,11 13 27 63 27 29 33 34 30 28 48 28 46 12 12
9190,15 87 19 25 27 29 33 34 30 28 64 28
12160,45 27 29 33 83 84 34 30 28 26 20 18 16
4600,55 11 45 27 29 33 34 30 28 46 12 56 12 12
8984,11 55 11 11 13 27 29 33 34 30 28 46
6834,27 51 33 83 84 34 52 28 46 12 56
8683,33 34 30 28 26 20 88
10357,11 11 45 27 47 27 29 33 34 30 28 46 12 12 12 12 12 12
10122,49 33 34 50 28 46 12 56 12 12 12
7273,11 47 27 29 33 34 30 28 14
11707,29 33 83 84 34 42 12
5187,55 11 11 11 11 11 53 27 29 33 34 30 32
3450,45 63 64 46
5088,55 11 11 55 11 53 27 29 33 34 30 28 54 12 12 56 12
5189,55 11 11 11 11 11 53 27 29 33 34 30 28
6388,45 27 29 33 83 84 34 30
11810,45 27 29 33 83 84 34 42
1370,11 47 27 29 33 34 30 32 6
10359,11 11 45 27 47 27 29 33 34 30 28 46 12 12 12
11885,45 27 29 33 83 84 34 40
8563,13 27 28 64 28 46 12 12 12 12 12 12 12 12 12 12
7161,27 51 33 34 30 28 60 58 56 12
6958,45 27 51 33 34 50 28 46 12 56 12
10541,11 47 27 28 54 12 12
12797,65 41 33 83 84 34 52 28 46 12
11199,5 29 30 28 46 12 56 12 12 12 12
